GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
45047970302,,,,,0,0,0,0,0,0,0,0
16049960200,,283389,285060,0,0,0,0,0,,0,0,
12031017100,512852,0,0,,0,0,0,0,,0,0,
40031000402,,,,,0,0,0,0,0,0,0,
48027021800,,,,,0,0,0,0,0,0,0,
26009960300,,,,,0,0,0,0,,0,0,
41059951200,,,,,0,0,0,0,0,0,0,1
47081950100,,,,,0,0,0,0,0,0,0,
4017965200,,,,555353,0,0,0,0,0,0,0,
2195000200,,271984,,,0,0,0,0,0,0,0,
40037020101,,186908,194815,105053,0,0,0,0,0,0,0,
1095030702,,,,,0,0,0,0,0,0,0,
26151970600,,,,,0,0,0,0,,0,0,
6049000300,,41100,,480516,0,0,0,0,0,0,0,
2170001001,,,,521113,0,0,0,0,0,0,0,
53045961000,,,,,0,0,0,0,0,0,0,1
6085504601,179,142120,101608,51043,0,0,0,0,0,0,0,
12133970102,,,,,0,0,0,0,,0,0,
23029956200,,,,,0,0,0,0,,0,0,
13121012300,,,,,0,0,0,0,,0,0,
30029000700,,,,,0,0,0,0,,0,0,0
21085950100,,,467100,,0,0,0,0,,0,0,
1093964700,,,,,0,0,0,0,0,0,0,
27061940000,,,,,0,0,0,0,,0,0,
11001004902,,456684,,,0,0,0,0,,0,0,
20021958500,,,,,0,0,0,0,,0,0,
51041100820,,,,,0,0,0,0,0,0,0,
6001441503,,,,445567,0,0,0,0,0,0,0,
6059076204,,,,,0,0,0,0,0,0,0,
41019150000,,431765,,,0,0,0,0,0,0,0,1
41035970100,,,,,0,0,0,0,0,0,0,1
24031702500,,429470,,,0,0,0,0,,0,0,
41019020000,,,,,0,0,0,0,0,0,0,1
21225950300,,,,,0,0,0,0,,0,0,
22085000400,,,,,0,0,0,0,,0,0,
33009961800,,,221329,191541,0,0,0,0,0,0,0,0
13179010300,126075,275987,,,0,0,0,0,,0,0,
35049010601,,,,,0,0,0,0,0,0,0,
51173030400,,141316,45570,,0,0,0,0,0,0,0,0
8021974900,,,115557,236857,0,0,0,0,0,0,0,
51059460501,,,,348936,0,0,0,0,0,0,0,
26057001000,,,,,0,0,0,0,,0,0,
51013101603,,346534,,,0,0,0,0,0,0,0,
41023960200,,346146,,,0,0,0,0,0,0,0,0
6093000800,,339252,,,0,0,0,0,0,0,0,
17135957700,,,,,0,0,0,0,,0,0,
51700032128,,202842,,,0,0,0,0,0,0,0,
26003000100,,,101904,224292,0,0,0,0,,0,0,
2170001201,,,,323956,0,0,0,0,0,0,0,
